ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,PUBLICO,CONTENEDORES,62836,148845,39989,0,0,0,0,0,2021,10
GUAJIRA,PUERTO BRISA S.A.,PUBLICO,CONTENEDORES,0,1073,0,0,0,0,0,0,2022,1
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,CONTENEDORES,27,325,0,0,0,0,0,0,2021,8
CARTAGENA,ECOPETROL S.A.,PRIVADO,GRANEL LIQUIDO,250555,77441,0,0,0,91062,0,0,2024,8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,77466,240268,0,0,0,20100,0,0,2023,4
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,86708,207687,0,0,0,9233,0,0,2021,11
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,CARBON AL GRANEL,18000,0,0,0,0,0,0,0,2020,5
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,19800,0,0,0,0,0,0,2021,5
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,PUBLICO,GRANEL LIQUIDO,1002,2936,0,0,0,0,0,0,2020,12
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,CARBON AL GRANEL,20978,0,0,0,0,0,0,0,2021,7
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,778,0,0,2018,4
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,PUBLICO,GENERAL,2458,14073,942,0,0,0,0,0,2022,6
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,71633,0,0,0,0,0,0,2019,12
GUAJIRA,PUERTO BRISA S.A.,PUBLICO,CARBON AL GRANEL,12996,0,0,0,0,0,0,0,2021,3
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL LIQUIDO,0,50448,0,0,0,31060,0,0,2022,9
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,CARBON AL GRANEL,8081,0,0,0,0,0,0,0,2021,6
CARTAGENA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,0,1050,0,558,0,0,0,0,2022,8
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,7287,0,0,2022,4
BARRANQUILLA,SOCIEDAD PORTUARIA MICHELLMAR S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,207,0,0,0,2022,2
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,149,0,16,0,0,0,0,0,2024,8
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,0,9518,0,0,2020,4
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,0,19834,0,0,2023,8
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,PUBLICO,CONTENEDORES,0,70,0,0,0,0,0,0,2024,4
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,3749,0,0,0,0,0,0,2019,2
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,PUBLICO,GRANEL LIQUIDO,0,143475,0,0,0,0,0,0,2023,10
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,0,29,34,0,0,0,0,0,2018,2
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,CONTENEDORES,92885,97285,289127,0,0,8593,0,0,2023,7
CARTAGENA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,0,1502,0,0,0,0,0,0,2022,11
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,43469,0,0,0,0,0,0,2023,1
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,0,0,0,2019,2
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,22689,0,0,0,0,0,0,2021,5
G. MORROSQUILLO,OLEODUCTO CENTRAL S.A.,PUBLICO,GRANEL LIQUIDO,1304305,0,0,0,0,0,0,0,2022,12
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,PRIVADO,GRANEL LIQUIDO,52943,0,0,0,0,0,0,0,2018,1
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,CONTENEDORES,515,2159,0,0,0,8446,0,10,2022,2
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL LIQUIDO,0,11916,0,0,0,0,0,0,2022,3
BARRANCABERMEJA,ECOPETROL S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,103804,0,0,0,2022,9
Z.P. RIO MAGDALENA,SOCIEDAD PORTUARIA COAL CORP SA,PUBLICO,CARBON AL GRANEL,0,0,0,0,3310,0,0,0,2022,11
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,PRIVADO,GRANEL LIQUIDO,0,466636,0,0,0,0,0,0,2018,12
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,28269,0,0,0,0,0,0,2022,3
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,1982,0,0,0,0,0,0,2023,5
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,22079,0,0,0,0,0,0,2018,11
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,10099,0,0,0,0,0,0,2020,1
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,CARBON AL GRANEL,43460,0,0,0,0,0,0,0,2020,3
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,61843,0,0,0,2020,6
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,73,101,43,0,0,0,0,0,2018,10
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,PUBLICO,GRANEL LIQUIDO,0,5885,0,0,0,0,0,0,2021,5
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,7248,0,0,2019,1
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,CONTENEDORES,103623,175411,345933,0,0,17341,0,0,2021,9
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,GENERAL,0,0,0,0,0,3378,0,0,2019,3
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,CONTENEDORES,72077,90156,270124,0,0,0,0,0,2019,2
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CARBON AL GRANEL,0,78005,0,0,0,0,0,0,2021,10
CIENAGA,AMERICAN PORT COMPANY INC,PRIVADO,CARBON AL GRANEL,1219377,0,0,0,0,0,0,0,2023,4
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,37039,0,0,0,0,0,0,2021,11
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,113356,40978,0,0,0,0,0,0,2022,2
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,CONTENEDORES,26572,17807,518,0,0,63,0,0,2018,1
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL LIQUIDO,0,76144,0,0,0,0,0,0,2021,12
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,GENERAL,59,78,0,0,0,0,0,0,2021,1
BARRANQUILLA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,12281,7940,0,0,0,0,0,999,2019,6
CARTAGENA,ALGRANEL S.A.,PUBLICO,GRANEL LIQUIDO,0,23304,0,0,0,0,0,0,2023,5
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,3928,0,0,2021,8
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,CONTENEDORES,0,323,0,0,0,0,0,0,2020,3
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,PUBLICO,GENERAL,4103,11128,646,0,0,0,0,0,2023,6
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,5573,0,0,0,2802,0,0,2018,5
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,60955,0,0,0,0,0,0,0,2018,12
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,CARBON AL GRANEL,1486129,0,0,0,0,0,0,0,2023,5
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,50219,114484,0,0,0,7764,0,0,2020,3
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,99556,262928,0,0,0,14602,0,0,2024,2
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,PUBLICO,GRANEL LIQUIDO,34605,0,0,0,0,0,0,0,2020,5
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,2986,0,0,0,0,0,0,2020,12
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,0,18235,0,0,2019,12
TURBO,UNIBAN LOGISTICA S.A,PUBLICO,GENERAL,16335,54,0,0,0,0,0,0,2022,6
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,CONTENEDORES,0,502,0,0,0,0,0,0,2018,8
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,PRIVADO,GENERAL,0,7000,0,0,0,0,0,0,2021,4
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,0,0,0,0,5313,0,0,2018,9
GUAJIRA,PUERTO BRISA S.A.,PUBLICO,CONTENEDORES,0,116,0,0,0,0,0,0,2022,9
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,94774,0,0,0,0,0,0,0,2020,4
CARTAGENA,COREMAR SHOREBASE SA,PUBLICO,GRANEL LIQUIDO,0,0,0,0,39,0,0,0,2021,9
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,917,31625,0,0,0,0,0,0,2022,6
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,PUBLICO,CONTENEDORES,0,0,0,0,677,0,0,0,2021,5
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,4653,112537,0,0,0,0,0,0,2020,3
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,4954,0,0,2022,4
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,1681268,0,0,0,0,0,0,0,2018,8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,32858,0,0,0,0,0,0,2019,7
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GENERAL,52,74604,0,0,0,0,0,0,2024,8
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,CARBON AL GRANEL,22000,0,0,0,0,0,0,0,2019,8
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,CARBON AL GRANEL,162818,0,0,0,0,0,0,0,2023,5
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,17,0,0,0,2905,0,0,2021,1
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL LIQUIDO,0,39670,0,0,0,0,0,0,2019,1
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,CARBON AL GRANEL,39646,0,0,0,0,0,0,0,2019,7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,132726,0,0,0,0,0,0,2018,11
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,2193,0,0,0,0,0,0,2021,8
BARRANQUILLA,PORTMAGDALENA S.A.,PUBLICO,GRANEL LIQUIDO,0,14020,0,0,0,13673,0,0,2018,9
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,771,0,0,2021,6
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,PUBLICO,GENERAL,0,2311,0,0,0,0,0,0,2018,8
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,PUBLICO,GENERAL,10916,14712,824,0,0,0,0,0,2021,9
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,19570,0,0,0,0,0,0,2023,4
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GENERAL,0,39601,0,0,0,0,0,0,2020,11
GUAJIRA,PUERTO BRISA S.A.,PUBLICO,CARBON AL GRANEL,127619,0,0,0,0,0,0,0,2023,2
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,64896,0,0,0,0,0,0,0,2018,1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,7239,0,0,0,0,0,0,0,2019,9
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,CONTENEDORES,396,1260,0,26,0,6775,0,0,2021,5
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,PUBLICO,GRANEL LIQUIDO,0,0,0,0,127,0,0,0,2018,10
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,275890,0,0,0,0,0,0,0,2022,10
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,3229,0,0,2020,8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CONTENEDORES,70202,204193,0,0,0,5045,0,0,2022,1
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,103117,0,0,0,0,0,0,0,2021,7
CIENAGA,AMERICAN PORT COMPANY INC,PRIVADO,CARBON AL GRANEL,2833825,0,0,0,0,0,0,0,2020,4
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,85,0,0,0,5332,0,0,2022,5
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,3360,0,0,0,0,2838,0,0,2019,8
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,234594,0,0,0,0,0,0,2023,11
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,4381,0,0,2020,7
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,34142,0,0,0,0,0,0,2023,4
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,PRIVADO,GRANEL LIQUIDO,2500,5001,0,0,0,0,0,0,2024,2
CARTAGENA,ATUNAMAR LIMITADA,PRIVADO,GENERAL,0,0,0,0,0,5121,0,0,2019,6
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,PUBLICO,GENERAL,10052,23,0,0,0,0,0,0,2018,7
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,CONTENEDORES,158525,253653,1424355,0,0,69463,0,0,2020,3
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,0,78,190,0,0,0,0,0,2021,2
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,20049,0,0,0,0,0,0,2020,2
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,PUBLICO,GRANEL LIQUIDO,0,7911,0,0,0,0,0,0,2019,11
CARTAGENA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,0,2994,0,0,0,0,0,0,2020,6
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,9961,0,0,0,0,0,0,2020,5
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,211782,0,0,0,0,0,0,2018,5
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,1492,0,0,2022,4
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,PUBLICO,CONTENEDORES,0,56,72,0,0,0,0,0,2024,6
TURBO,PROMOTORA BANANERA S.A,PUBLICO,CONTENEDORES,5267,0,0,0,0,3494,0,0,2019,9
BARRANQUILLA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,10000,14878,0,0,0,0,0,0,2018,10
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,PUBLICO,GENERAL,0,0,0,0,0,9598,0,0,2022,4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CONTENEDORES,45692,39740,64,143,0,0,0,348,2024,9
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,70,0,0,0,3075,0,0,2022,1
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,78383,0,0,0,0,0,0,0,2021,7
G. MORROSQUILLO,OLEODUCTO CENTRAL S.A.,PUBLICO,GRANEL LIQUIDO,1420376,0,0,0,0,0,0,0,2020,11
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,30,0,0,0,4680,0,0,2023,11
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,6548,0,0,0,0,0,0,2018,12
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,12773,0,0,0,0,0,0,0,2020,6
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,CARBON AL GRANEL,54409,0,0,0,0,0,0,0,2023,11
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,100589,0,0,0,0,0,0,2023,11
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL LIQUIDO,0,6281,0,0,0,18255,0,0,2021,6
TURBO,PROMOTORA BANANERA S.A,PUBLICO,GENERAL,623,0,0,0,0,0,0,0,2021,6
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,55852,0,0,0,0,0,0,2021,2
CARTAGENA,ALGRANEL S.A.,PUBLICO,GRANEL LIQUIDO,1700,9723,0,0,0,0,0,0,2021,1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,189943,0,0,0,0,0,0,2021,3
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CONTENEDORES,18162,11611,0,879,0,0,0,54,2023,9
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,18483,0,0,0,0,0,0,2022,1
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,104566,0,0,0,0,0,0,2020,2
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,5283,0,0,0,2725,0,0,2019,6
BARRANQUILLA,ATUNAMAR LIMITADA,PRIVADO,GENERAL,0,0,0,0,0,3920,0,0,2018,7
CARTAGENA,SOCIEDAD PORTUARIA EL CAYAO S.A. E.S.P.,PUBLICO,GRANEL LIQUIDO,0,44892,0,0,0,0,0,0,2023,11
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,CONTENEDORES,151530,239707,541963,0,0,0,0,0,2018,6
BARRANCABERMEJA,ECOPETROL S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,91508,0,0,0,2022,3
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,5508,23851,0,0,2276,0,0,0,2020,7
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,115945,53252,0,0,0,3845,0,0,2023,1
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,55158,0,0,0,0,0,0,2022,2
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,6805,0,0,0,0,0,0,2018,11
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,29290,0,0,0,0,0,0,2020,1
TURBO,UNIBAN LOGISTICA S.A,PUBLICO,CONTENEDORES,39014,2855,0,0,0,8105,0,0,2022,8
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,64498,0,0,0,0,0,0,2018,2
BARRANCABERMEJA,ECOPETROL S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,118049,0,0,0,2021,10
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,PUBLICO,GENERAL,0,2615,0,0,0,0,0,0,2019,10
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GENERAL,0,111546,0,0,0,0,0,0,2023,1
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,PUBLICO,CONTENEDORES,8068,3063,0,0,0,22109,0,0,2020,6
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,CARBON AL GRANEL,454116,0,0,0,0,0,0,0,2021,5
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,PUBLICO,CONTENEDORES,0,19,123,0,0,0,0,0,2024,1
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,CARBON AL GRANEL,10695,0,0,0,0,0,0,0,2021,12
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,PUBLICO,GENERAL,0,0,0,0,0,8804,0,0,2023,4
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,216635,0,0,0,0,0,0,0,2024,3
CIENAGA,AMERICAN PORT COMPANY INC,PRIVADO,CARBON AL GRANEL,2050339,0,0,0,0,0,0,0,2023,11
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CARBON AL GRANEL,93502,0,0,0,0,0,0,0,2021,2
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,PUBLICO,CARBON AL GRANEL,79946,0,0,0,0,0,0,0,2018,8
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,21886,0,0,0,0,0,0,2018,2
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,PUBLICO,CONTENEDORES,35140,88732,65889,0,0,776,0,0,2018,12
CARTAGENA,PUERTOS DEL CARIBE SOCIEDAD PORTUARIA S.A.,PUBLICO,GRANEL LIQUIDO,0,5134,0,0,0,0,0,0,2023,8
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,13312,0,0,0,0,0,0,2018,8
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,CARBON AL GRANEL,137854,0,0,0,0,0,0,0,2020,10
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,PUBLICO,GRANEL LIQUIDO,0,3934,0,0,0,30935,0,0,2018,6
TURBO,PORTUARIA PUNTA DE VACA S.A.,PRIVADO,GRANEL LIQUIDO,0,0,0,0,0,769,0,0,2018,6
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,10447,0,0,0,0,0,0,2018,6
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,PUBLICO,CONTENEDORES,0,40,0,0,0,0,0,0,2023,12
